id,source,target,relation,source_text
E125,E278,P191,HAS_SUBJECT,清上從聘唐使。入於大唐。
E126,E289,P191,HAS_SUBJECT,歸朝之日。舶遭造風。漂墮南海賊地。爲賊所殺。
E127,E289,L072,HAS_OBJECT,歸朝之日。舶遭造風。漂墮南海賊地。爲賊所殺。
E128,E289,L067,AT_LOCATION,歸朝之日。舶遭造風。漂墮南海賊地。爲賊所殺。
E129,P191,L072,TRAVEL,歸朝之日。舶遭造風。漂墮南海賊地。爲賊所殺。
E130,P191,L067,TRAVEL,歸朝之日。舶遭造風。漂墮南海賊地。爲賊所殺。
E131,E300,C021,HAS_SUBJECT,渤海國人崔宗佐。門孫。宰孫等漂着肥後國天草郡。
E132,E300,P234,HAS_OBJECT,渤海國人崔宗佐。門孫。宰孫等漂着肥後國天草郡。
E133,E300,P234,AT_LOCATION,渤海國人崔宗佐。門孫。宰孫等漂着肥後國天草郡。
E134,C021,P234,TRAVEL,渤海國人崔宗佐。門孫。宰孫等漂着肥後國天草郡。
E135,E311,P227,HAS_SUBJECT,延暦寺僧傳灯大法師位義眞奏言。天台一門。已立圓宗。
E136,E311,L142,HAS_OBJECT,延暦寺僧傳灯大法師位義眞奏言。天台一門。已立圓宗。
E137,E311,L161,AT_LOCATION,延暦寺僧傳灯大法師位義眞奏言。天台一門。已立圓宗。
E138,P227,L142,INTRODUCE,延暦寺僧傳灯大法師位義眞奏言。天台一門。已立圓宗。
E139,P227,L161,INTRODUCE,延暦寺僧傳灯大法師位義眞奏言。天台一門。已立圓宗。
E140,E322,G044,HAS_SUBJECT,遣唐使駕船一隻自安藝國到于難波江口。著灘不浮。其柁亦復不得發出。爲浪所搖。船尾破裂。
E141,E322,L328,AT_LOCATION,遣唐使駕船一隻自安藝國到于難波江口。著灘不浮。其柁亦復不得發出。爲浪所搖。船尾破裂。
E142,G044,L328,TRAVEL,遣唐使駕船一隻自安藝國到于難波江口。著灘不浮。其柁亦復不得發出。爲浪所搖。船尾破裂。
E143,E333,P010,HAS_SUBJECT,授判官正六位上中臣朝臣鷹主從五位下爲使。賜節刀。
E144,E333,L193,AT_LOCATION,授判官正六位上中臣朝臣鷹主從五位下爲使。賜節刀。
E145,E345,P127,HAS_SUBJECT,遣唐副使小野朝臣篁發自鴻臚。向大宰府。
E146,E345,L132,AT_LOCATION,遣唐副使小野朝臣篁發自鴻臚。向大宰府。
E147,P127,L132,PARTICIPATE,遣唐副使小野朝臣篁發自鴻臚。向大宰府。
E148,E356,P259,HAS_SUBJECT,召遣唐大使從四位上藤原朝臣葛野麻呂。副使從五位上石川朝臣道益等兩人。賜餞殿上。
E149,E356,L193,AT_LOCATION,召遣唐大使從四位上藤原朝臣葛野麻呂。副使從五位上石川朝臣道益等兩人。賜餞殿上。
E150,P259,L193,PARTICIPATE,召遣唐大使從四位上藤原朝臣葛野麻呂。副使從五位上石川朝臣道益等兩人。賜餞殿上。
E151,E367,P259,HAS_SUBJECT,授大使葛野麻呂節刀。
E152,E367,P219,HAS_OBJECT,授大使葛野麻呂節刀。
E153,E367,L193,AT_LOCATION,授大使葛野麻呂節刀。
E154,P259,P219,PARTICIPATE,授大使葛野麻呂節刀。
E155,E378,P272,HAS_SUBJECT,從彼郷達於大唐。欲迎前年入唐大使藤原朝臣河清。
E156,E389,G004,HAS_SUBJECT,大使上奏。更復卜定。換其次第。第二舶改爲第一。
E157,E389,L132,AT_LOCATION,大使上奏。更復卜定。換其次第。第二舶改爲第一。
E158,G004,L132,TRAVEL,大使上奏。更復卜定。換其次第。第二舶改爲第一。
E159,E400,P066,HAS_SUBJECT,以從四位上吉備朝臣眞備爲入唐副使。
E160,E400,L193,AT_LOCATION,以從四位上吉備朝臣眞備爲入唐副使。
E161,P066,L193,PARTICIPATE,以從四位上吉備朝臣眞備爲入唐副使。
E162,E411,P085,HAS_SUBJECT,天台留學僧圓載從仁好及僧惠蕚等至自大唐。
E163,E411,L193,HAS_OBJECT,天台留學僧圓載從仁好及僧惠蕚等至自大唐。
E164,E411,L193,AT_LOCATION,天台留學僧圓載從仁好及僧惠蕚等至自大唐。
E165,P085,L193,TRAVEL,天台留學僧圓載從仁好及僧惠蕚等至自大唐。
E166,E422,G034,HAS_SUBJECT,大宰府奏遣唐使三ケ舶漂廻之状。
E167,E422,L247,AT_LOCATION,大宰府奏遣唐使三ケ舶漂廻之状。
E168,G034,L247,TRAVEL,大宰府奏遣唐使三ケ舶漂廻之状。
E169,E433,P220,HAS_SUBJECT,正四位下粟田朝臣眞人自唐國至。初至唐時。有人來問曰。何處使人。荅曰。日本國使。
E170,E433,L193,HAS_OBJECT,正四位下粟田朝臣眞人自唐國至。初至唐時。有人來問曰。何處使人。荅曰。日本國使。
E171,E433,L193,AT_LOCATION,正四位下粟田朝臣眞人自唐國至。初至唐時。有人來問曰。何處使人。荅曰。日本國使。
E172,P220,L193,TRAVEL,正四位下粟田朝臣眞人自唐國至。初至唐時。有人來問曰。何處使人。荅曰。日本國使。
E173,E444,P258,HAS_SUBJECT,以從六位下藤原朝臣貞敏爲遣唐准判官。
E174,E444,L193,AT_LOCATION,以從六位下藤原朝臣貞敏爲遣唐准判官。
E175,P258,L193,PARTICIPATE,以從六位下藤原朝臣貞敏爲遣唐准判官。
E176,E456,P282,HAS_SUBJECT,遣唐大使副使等自大宰府入京。奉還節刀。
E177,E456,P219,HAS_OBJECT,遣唐大使副使等自大宰府入京。奉還節刀。
E178,E456,L193,AT_LOCATION,遣唐大使副使等自大宰府入京。奉還節刀。
E179,P282,P219,PARTICIPATE,遣唐大使副使等自大宰府入京。奉還節刀。
E180,P282,L193,PARTICIPATE,遣唐大使副使等自大宰府入京。奉還節刀。
E181,E467,P047,HAS_SUBJECT,迎藤原河清使判官内藏忌寸全成。自渤海却廻。海中遭風。漂着對馬。
E182,E467,P123,HAS_OBJECT,迎藤原河清使判官内藏忌寸全成。自渤海却廻。海中遭風。漂着對馬。
